Nodal displacements
node#      x          y          u          v
  309    0.000000    1.925000    0.000000    4.507869
  310    0.000000    2.125000    0.000000    4.630071
  311    0.000000    2.350000    0.000000    4.788116
  312    0.000000    2.600000    0.000000    4.980839
  313    0.000000    3.000000    0.000000    5.290134

Element stresses
ele#       σxx        σyy        τxy
    1    0.092554    3.711096    0.002289
    2    0.054071    4.031317   -0.235165
    3    0.268038    3.419784   -0.183678
    4    0.166420    3.658170   -0.415422
    5    0.277157    3.157727    0.033175
    6    0.236381    3.416721   -0.142477
    7    0.405425    2.921645   -0.105003
    8    0.318163    3.119769   -0.276859
    9    0.386009    2.705248    0.054974
   10    0.345926    2.908222   -0.073780
   11    0.476141    2.519669   -0.047623
   12    0.402525    2.678318   -0.174062
   13    0.434719    2.335018    0.067108
   14    0.396062    2.498520   -0.025116
   15    0.496737    2.186201   -0.006813
   16    0.433354    2.316543   -0.097770
   17    0.437431    2.031849    0.074124
   18    0.401917    2.159465    0.008202
   19    0.478079    1.916112    0.020232
   20    0.424694    2.019460   -0.045157
   21    0.406890    1.787294    0.076825
   22    0.375154    1.886117    0.028915
   23    0.432872    1.697884    0.036492
   24    0.388227    1.779003   -0.011332
   25    0.355471    1.588863    0.076542
   26    0.327608    1.666669    0.040349
   27    0.372507    1.518452    0.045072
   28    0.335105    1.583093    0.008748
   29    0.290845    1.418774    0.073604
   30    0.266620    1.486765    0.045516
   31    0.303979    1.357728    0.048625
   32    0.271822    1.414654    0.020343
   33    0.219013    1.263594    0.070553
   34    0.198350    1.325970    0.046493
   35    0.231766    1.207313    0.048885
   36    0.204092    1.259877    0.024700
   37    0.146089    1.113451    0.068065
   38    0.128435    1.176175    0.044411
   39    0.161949    1.055863    0.046894
   40    0.137440    1.109023    0.023286
   41    0.077401    0.954075    0.066553
   42    0.061402    1.025530    0.039375
   43    0.100101    0.886935    0.042572
   44    0.076501    0.947848    0.015677
   45    0.019406    0.688446    0.049716
   46   -0.000448    0.856449    0.017678
   47    0.056052    0.539118    0.027375
   48    0.016008    0.676800   -0.003805
   49    0.110744    3.482170   -0.398952
   50    0.155020    3.728250   -0.654805
   51    0.333654    3.167300   -0.510234
   52    0.312258    3.339834   -0.750832
   53    0.259918    3.001297   -0.205420
   54    0.265947    3.202937   -0.394923
   55    0.408040    2.752009   -0.291201
   56    0.367632    2.899344   -0.470664
