Nodal displacements
node#      x          y          u          v
  395    0.954941    0.551335   -1.656015    1.837355
  396    0.983627    0.611659   -1.577166    1.870626
  397    1.043857    0.602671   -1.612691    1.691988
  398    1.073244    0.667386   -1.530777    1.750092
  399    1.132772    0.654006   -1.581071    1.598865
  400    1.162860    0.723113   -1.498006    1.674218
  401    1.221688    0.705342   -1.558019    1.539794
  402    1.252477    0.778840   -1.474692    1.627512
  403    1.310603    0.756677   -1.541225    1.503343
  404    1.342093    0.834567   -1.457901    1.600113
  405    1.399519    0.808013   -1.528908    1.482016
  406    1.431710    0.890294   -1.445461    1.585484
  407    1.488435    0.859348   -1.519649    1.470725
  408    1.521327    0.946022   -1.435720    1.579138
  409    1.577350    0.910684   -1.512302    1.465903
  410    1.610943    1.001749   -1.427395    1.577904
  411    1.666266    0.962019   -1.505931    1.464979
  412    1.700560    1.057476   -1.419478    1.579477
  413    1.755181    1.013354   -1.499767    1.466048
  414    1.790176    1.113203   -1.411170    1.582139
  415    1.844097    1.064690   -1.493177    1.467665
  416    1.879793    1.168930   -1.401841    1.584584
  417    1.933013    1.116025   -1.485648    1.468704
  418    1.969409    1.224657   -1.391002    1.585799
  419    2.021928    1.167361   -1.476765    1.468271
  420    2.059026    1.280385   -1.378287    1.584991
  421    2.110844    1.218696   -1.466211    1.465644
  422    2.148643    1.336112   -1.363443    1.581537
  423    2.199759    1.270032   -1.453756    1.460236
  424    2.238259    1.391839   -1.346319    1.574954
  425    2.288675    1.321367   -1.439256    1.451567
  426    2.327876    1.447566   -1.326862    1.564877
  427    2.377591    1.372703   -1.422653    1.439259
  428    2.417492    1.503293   -1.305116    1.551058
  429    2.466506    1.424038   -1.403974    1.423024
  430    2.507109    1.559020   -1.281213    1.533362
  431    2.555422    1.475374   -1.383331    1.402678
  432    2.596725    1.614748   -1.255370    1.511771
  433    2.644338    1.526709   -1.360920    1.378147
  434    2.686342    1.670475   -1.227876    1.486399
  435    2.733253    1.578044   -1.337015    1.349485
  436    2.775959    1.726202   -1.199081    1.457496
  437    2.822169    1.629380   -1.311959    1.316897
  438    2.865575    1.781929   -1.169378    1.425466
  439    2.911084    1.680715   -1.286154    1.280761
  440    2.955192    1.837656   -1.139169    1.390873
  441    3.000000    1.732051   -1.260032    1.241659
  442    0.831470    0.555570   -1.640354    2.298235
  443    0.858412    0.615130   -1.546709    2.284187
  444    0.921825    0.615944   -1.547287    2.056145
  445    0.949544    0.680433   -1.453404    2.085972
  446    1.012180    0.676317   -1.484011    1.905497
  447    1.040675    0.745737   -1.391321    1.964176
  448    1.102536    0.736691   -1.440193    1.811584
  449    1.131807    0.811041   -1.349202    1.890127
  450    1.192891    0.797065   -1.409468    1.754108
  451    1.222938    0.876345   -1.320106    1.846775
  452    1.283247    0.857438   -1.387588    1.720471
  453    1.314069    0.941649   -1.299381    1.823398
  454    1.373602    0.917812   -1.371536    1.702505
  455    1.405201    1.006953   -1.283795    1.812964
  456    1.463958    0.978185   -1.359101    1.694715
  457    1.496332    1.072256   -1.271030    1.810691
  458    1.554313    1.038559   -1.348621    1.693283
  459    1.587464    1.137560   -1.259380    1.813227
  460    1.644669    1.098932   -1.338821    1.695478
  461    1.678595    1.202864   -1.247572    1.818160
  462    1.735024    1.159306   -1.328716    1.699302
  463    1.769726    1.268168   -1.234655    1.823721
  464    1.825379    1.219680   -1.317548    1.703260
  465    1.860858    1.333472   -1.219919    1.828594
  466    1.915735    1.280053   -1.304735    1.706218
  467    1.951989    1.398776   -1.202861    1.831797
  468    2.006090    1.340427   -1.289855    1.707307
  469    2.043120    1.464079   -1.183145    1.832605
  470    2.096446    1.400800   -1.272616    1.705866
  471    2.134252    1.529383   -1.160585    1.830496
  472    2.186801    1.461174   -1.252852    1.701400
  473    2.225383    1.594687   -1.135130    1.825121
  474    2.277157    1.521547   -1.230511    1.693557
  475    2.316515    1.659991   -1.106848    1.816286
  476    2.367512    1.581921   -1.205646    1.682118
  477    2.407646    1.725295   -1.075917    1.803936
  478    2.457867    1.642295   -1.178409    1.666991
  479    2.498777    1.790599   -1.042603    1.788149
  480    2.548223    1.702668   -1.149037    1.648209
  481    2.589909    1.855902   -1.007248    1.769131
  482    2.638578    1.763042   -1.117842    1.625939
  483    2.681040    1.921206   -0.970241    1.747205
